algorithm,distribution,n,trial,time_s
Insertion Sort,random,100,0,0.000164
Insertion Sort,random,100,1,0.000178
Insertion Sort,random,100,2,0.000184
Insertion Sort,random,100,3,0.000151
Insertion Sort,random,100,4,0.00018
Insertion Sort,random,100,5,0.000173
Insertion Sort,random,100,6,0.000194
Insertion Sort,random,100,7,0.000174
Insertion Sort,random,100,8,0.000166
Insertion Sort,random,100,9,0.000169
Insertion Sort,random,100,10,0.00017
Insertion Sort,random,100,11,0.00021
Insertion Sort,random,100,12,0.000176
Insertion Sort,random,100,13,0.000172
Insertion Sort,random,100,14,0.000178
Insertion Sort,random,500,0,0.004781
Insertion Sort,random,500,1,0.005214
Insertion Sort,random,500,2,0.005686
Insertion Sort,random,500,3,0.004947
Insertion Sort,random,500,4,0.00483
Insertion Sort,random,500,5,0.004657
Insertion Sort,random,500,6,0.004975
Insertion Sort,random,500,7,0.004694
Insertion Sort,random,500,8,0.004572
Insertion Sort,random,500,9,0.0063
Insertion Sort,random,500,10,0.005185
Insertion Sort,random,500,11,0.004875
Insertion Sort,random,500,12,0.004672
Insertion Sort,random,500,13,0.004747
Insertion Sort,random,500,14,0.004917
Insertion Sort,random,1000,0,0.020592
Insertion Sort,random,1000,1,0.021397
Insertion Sort,random,1000,2,0.02318
Insertion Sort,random,1000,3,0.022219
Insertion Sort,random,1000,4,0.021915
Insertion Sort,random,1000,5,0.022092
Insertion Sort,random,1000,6,0.022582
Insertion Sort,random,1000,7,0.023277
Insertion Sort,random,1000,8,0.023468
Insertion Sort,random,1000,9,0.021877
Insertion Sort,random,1000,10,0.022965
Insertion Sort,random,1000,11,0.021995
Insertion Sort,random,1000,12,0.021385
Insertion Sort,random,1000,13,0.021264
Insertion Sort,random,1000,14,0.023128
Insertion Sort,random,5000,0,0.617697
Insertion Sort,random,5000,1,0.597379
Insertion Sort,random,5000,2,0.611437
Insertion Sort,random,5000,3,0.613874
Insertion Sort,random,5000,4,0.590577
Insertion Sort,random,5000,5,0.60612
Insertion Sort,random,5000,6,0.934519
Insertion Sort,random,5000,7,1.143385
Insertion Sort,random,5000,8,1.116545
Insertion Sort,random,5000,9,0.60705
Insertion Sort,random,5000,10,0.606482
Insertion Sort,random,5000,11,0.600538
Insertion Sort,random,5000,12,0.61754
Insertion Sort,random,5000,13,0.612858
Insertion Sort,random,5000,14,0.595737
Insertion Sort,random,10000,0,2.457933
Insertion Sort,random,10000,1,2.421183
Insertion Sort,random,10000,2,3.436319
Insertion Sort,random,10000,3,2.800879
Insertion Sort,random,10000,4,2.42278
Insertion Sort,random,10000,5,2.43724
Insertion Sort,random,10000,6,2.435751
Insertion Sort,random,10000,7,3.818182
Insertion Sort,random,10000,8,2.459679
Insertion Sort,random,10000,9,2.439692
Insertion Sort,random,10000,10,2.448967
Insertion Sort,random,10000,11,2.37231
Insertion Sort,random,10000,12,3.819704
Insertion Sort,random,10000,13,2.458473
Insertion Sort,random,10000,14,2.40891
Insertion Sort,sorted,100,0,1.1e-05
Insertion Sort,sorted,100,1,8e-06
Insertion Sort,sorted,100,2,8e-06
Insertion Sort,sorted,100,3,8e-06
Insertion Sort,sorted,100,4,8e-06
Insertion Sort,sorted,100,5,8e-06
Insertion Sort,sorted,100,6,8e-06
Insertion Sort,sorted,100,7,8e-06
Insertion Sort,sorted,100,8,8e-06
Insertion Sort,sorted,100,9,8e-06
Insertion Sort,sorted,100,10,8e-06
Insertion Sort,sorted,100,11,8e-06
Insertion Sort,sorted,100,12,8e-06
Insertion Sort,sorted,100,13,8e-06
Insertion Sort,sorted,100,14,8e-06
Insertion Sort,sorted,500,0,6.3e-05
Insertion Sort,sorted,500,1,4.9e-05
Insertion Sort,sorted,500,2,5e-05
Insertion Sort,sorted,500,3,6e-05
Insertion Sort,sorted,500,4,5e-05
Insertion Sort,sorted,500,5,4.8e-05
Insertion Sort,sorted,500,6,4.9e-05
Insertion Sort,sorted,500,7,5.4e-05
Insertion Sort,sorted,500,8,4.9e-05
Insertion Sort,sorted,500,9,4.9e-05
Insertion Sort,sorted,500,10,4.9e-05
Insertion Sort,sorted,500,11,4.9e-05
Insertion Sort,sorted,500,12,4.9e-05
Insertion Sort,sorted,500,13,4.9e-05
Insertion Sort,sorted,500,14,4.9e-05
Insertion Sort,sorted,1000,0,0.00011
Insertion Sort,sorted,1000,1,0.000112
Insertion Sort,sorted,1000,2,0.000109
Insertion Sort,sorted,1000,3,0.000114
Insertion Sort,sorted,1000,4,0.000108
Insertion Sort,sorted,1000,5,0.000108
Insertion Sort,sorted,1000,6,0.000118
Insertion Sort,sorted,1000,7,0.000109
Insertion Sort,sorted,1000,8,0.000111
Insertion Sort,sorted,1000,9,0.000109
Insertion Sort,sorted,1000,10,0.000114
Insertion Sort,sorted,1000,11,0.000109
Insertion Sort,sorted,1000,12,0.000108
Insertion Sort,sorted,1000,13,0.000115
Insertion Sort,sorted,1000,14,0.000109
Insertion Sort,sorted,5000,0,0.000595
Insertion Sort,sorted,5000,1,0.0006
Insertion Sort,sorted,5000,2,0.0006
Insertion Sort,sorted,5000,3,0.00059
Insertion Sort,sorted,5000,4,0.000584
Insertion Sort,sorted,5000,5,0.000588
Insertion Sort,sorted,5000,6,0.00059
Insertion Sort,sorted,5000,7,0.000591
Insertion Sort,sorted,5000,8,0.000598
Insertion Sort,sorted,5000,9,0.000612
Insertion Sort,sorted,5000,10,0.00059
Insertion Sort,sorted,5000,11,0.000588
Insertion Sort,sorted,5000,12,0.000661
Insertion Sort,sorted,5000,13,0.000591
Insertion Sort,sorted,5000,14,0.000583
Insertion Sort,sorted,10000,0,0.001231
Insertion Sort,sorted,10000,1,0.001278
Insertion Sort,sorted,10000,2,0.001207
Insertion Sort,sorted,10000,3,0.001207
Insertion Sort,sorted,10000,4,0.001221
Insertion Sort,sorted,10000,5,0.001212
Insertion Sort,sorted,10000,6,0.00127
Insertion Sort,sorted,10000,7,0.00122
Insertion Sort,sorted,10000,8,0.001208
Insertion Sort,sorted,10000,9,0.001297
Insertion Sort,sorted,10000,10,0.001203
Insertion Sort,sorted,10000,11,0.001208
Insertion Sort,sorted,10000,12,0.001226
Insertion Sort,sorted,10000,13,0.001207
Insertion Sort,sorted,10000,14,0.001252
Insertion Sort,reverse,100,0,0.000331
Insertion Sort,reverse,100,1,0.000339
Insertion Sort,reverse,100,2,0.000324
Insertion Sort,reverse,100,3,0.000329
Insertion Sort,reverse,100,4,0.00033
Insertion Sort,reverse,100,5,0.000324
Insertion Sort,reverse,100,6,0.000329
Insertion Sort,reverse,100,7,0.000329
Insertion Sort,reverse,100,8,0.000323
Insertion Sort,reverse,100,9,0.000329
Insertion Sort,reverse,100,10,0.00037
Insertion Sort,reverse,100,11,0.000324
Insertion Sort,reverse,100,12,0.000328
Insertion Sort,reverse,100,13,0.000337
Insertion Sort,reverse,100,14,0.000324
Insertion Sort,reverse,500,0,0.009104
Insertion Sort,reverse,500,1,0.00911
Insertion Sort,reverse,500,2,0.009037
Insertion Sort,reverse,500,3,0.009393
Insertion Sort,reverse,500,4,0.009084
Insertion Sort,reverse,500,5,0.009024
Insertion Sort,reverse,500,6,0.008989
Insertion Sort,reverse,500,7,0.009081
Insertion Sort,reverse,500,8,0.009054
Insertion Sort,reverse,500,9,0.009087
Insertion Sort,reverse,500,10,0.009184
Insertion Sort,reverse,500,11,0.009019
Insertion Sort,reverse,500,12,0.0092
Insertion Sort,reverse,500,13,0.009387
Insertion Sort,reverse,500,14,0.009288
Insertion Sort,reverse,1000,0,0.040552
Insertion Sort,reverse,1000,1,0.040189
Insertion Sort,reverse,1000,2,0.058235
Insertion Sort,reverse,1000,3,0.039903
